Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Bhutan,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Brazil,Overview,Net-zero Target,,,nz_status,In Political Pledge (4/22/2021); <br>In Policy Document (12/8/2020) and (10/28/2021),Net_Zero,Net-zero Target Status
Brazil,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Brazil,Overview,Net-zero Target,,,nz_source,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/2021%20-%20Carta%20MRE.pdf"">Addendum to Brazil's Updated First NDC</a> (10/28/2021); <a href=""https://www.state.gov/leaders-summit-on-climate/"">Leaders Summit On Climate</a> (4/22/2021); <br><a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/Brazil%20First%20NDC%20(Updated%20submission).pdf"">Brazil Updated First Nationally Determined Contribution</a> (12/8/2020)",Net_Zero,Net-zero Target Source
Brazil,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
Brazil,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Brazil,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Brazil,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Brazil,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Bulgaria,Overview,Net-zero Target,,,nz_status,In Political Pledge,Net_Zero,Net-zero Target Status
Bulgaria,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Bulgaria,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-3"">Speech during COP26 World Leaders Summit</a> (11/2/2021)",Net_Zero,Net-zero Target Source
Bulgaria,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
Bulgaria,Overview,Net-zero Target,,,nz_sec,Unclear or Undecided,Net_Zero,Coverage of Domestic Sectors
Bulgaria,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Bulgaria,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Bulgaria,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Cambodia,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Cambodia,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Cambodia,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/resource/KHM_LTS_Dec2021.pdf"">Long-term strategy for Carbon Neutrality (LTS4CN) for Cambodia</a> (12/30/2021)",Net_Zero,Net-zero Target Source
Cambodia,Overview,Net-zero Target,,,nz_ghg,Partial GHG Coverage,Net_Zero,Coverage of GHGs
Cambodia,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Cambodia,Overview,Net-zero Target,,,nz_offset,International Offsets Not Included,Net_Zero,Includes International Offsets
Cambodia,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Cambodia,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Canada,Overview,Net-zero Target,,,nz_status,"In Policy Document (07/12/2021, 10/31/2022)<br>In Law (06/29/2021)<br>In Political Pledge (12/12/2020)",Net_Zero,Net-zero Target Status
Canada,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Canada,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/resource/LTS%20Full%20Draft_Final%20version_oct31.pdf"">Exploring Approaches for Canada’s Transition to Net-Zero Emissions</a> (10/31/22); <a href=https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Canada's%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf>Canada First NDC (Updated submission)</a> (07/12/2021)<br><a href=https://parl.ca/DocumentViewer/en/43-2/bill/C-12/royal-assent#ID0EBDBA>Canadian Net-Zero Emissions Accountability Act</a> (06/29/2021)<br><a href=https://www.climateambitionsummit2020.org/ondemand.php>Climate Ambition Summit 2020</a> (12/12/2020)",Net_Zero,Net-zero Target Source
Canada,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Canada,Overview,Net-zero Target,,,nz_sec,All Sectors,Net_Zero,Coverage of Domestic Sectors
Canada,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Canada,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Canada,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Cape Verde,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Cape Verde,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Cape Verde,Overview,Net-zero Target,,,nz_source,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo%20Verde_NDC%20Update%202021.pdf"">Cabo Verde Updated First NDC</a>",Net_Zero,Net-zero Target Source
Cape Verde,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
Cape Verde,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Cape Verde,Overview,Net-zero Target,,,nz_offset,International Offsets Included,Net_Zero,Includes International Offsets
Cape Verde,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Cape Verde,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Chile,Overview,Net-zero Target,,,nz_status,In Law (9/8/2022); In Policy Document (4/8/2020),Net_Zero,Net-zero Target Status
Chile,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Chile,Overview,Net-zero Target,,,nz_source,"<a href=""https://storage.googleapis.com/cclow-staging/fftaqyusmy0ec69fajyqhsng25jz?GoogleAccessId=laws-and-pathways-staging%40soy-truth-247515.iam.gserviceaccount.com&Expires=1664553246&Signature=grDWJCAJYoJxMmcJU03YEneO2Cv70%2BOe4IrBAMQTj2S0jdvPli8Kw2FNfTtIngZaH7QrD%2Bh4aa%2FtBnLJ0KY4ydAT6xCcih9TSgn5ftUURtGSCKFr3ihgqhZZxWRwwsRv9O%2BEK2lq8Dse7TQXWIN3gGmnCZOkxKlbWMtn3c9KrCU8JYOENuWgH8YRdHG85CxPI3juLbc2xhQmKJM3VUPaLTrOdN6n1fX96egkdRb2V%2B5oolzvXjlEVPnM9zXNVmYogBQfCXmq3MjN6DG0MbVAfjWAfPPccR73IrMOS7JSsYuTNss4LbVmrFZe3cAVf0Vj0Vqle5kfeTi0XrIplGmLAA%3D%3D&response-content-disposition=inline%3B+filename%3D%22Ley-21455_13-JUN-2022.pdf%22%3B+filename%2A%3DUTF-8%27%27Ley-21455_13-JUN-2022.pdf&response-content-type=application%2Fpdf"">Framework Law on Climate Change </a> (6/13/2022) ; <a href=""https://unfccc.int/sites/default/files/resource/CHL_LTS_2021.pdf"">Estrategia climática de largo plazo de Chile - camino a la carbono neutralidad y resiliencia a más tardar al 2050</a> (11/3/2021) ; <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/Chile's_NDC_2020_english.pdf"">Chile's Nationally Determined Contribution</a> (4/8/2020)",Net_Zero,Net-zero Target Source
Chile,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Chile,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Chile,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Chile,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Chile,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
China,Overview,Net-zero Target,,,nz_status,In Policy Document (10/28/2021); In Political Pledge (12/12/2020),Net_Zero,Net-zero Target Status
China,Overview,Net-zero Target,,,nz_year,2060,Net_Zero,Net-zero Target Year
China,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/resource/China%E2%80%99s%20Mid-Century%20Long-Term%20Low%20Greenhouse%20Gas%20Emission%20Development%20Strategy.pdf"">China’s Mid-Century Long-Term Low Greenhouse Gas Emission Development Strategy</a> (10/28/2021); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/China%E2%80%99s%20Achievements,%20New%20Goals%20and%20New%20Measures%20for%20Nationally%20Determined%20Contributions.pdf"">China First NDC (Updated submission)</a> (10/28/2021); <a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) <br><a href=""http://finance.sina.com.cn/zl/china/2021-07-27/zl-ikqcfnca9266336.shtml"">Speech</a> (07/27/2021)",Net_Zero,Net-zero Target Source
China,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
China,Overview,Net-zero Target,,,nz_sec,Unclear or Undecided,Net_Zero,Coverage of Domestic Sectors
China,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
China,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
China,Overview,Net-zero Target,,,nz_separate_net_gross,Net target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Colombia,Overview,Net-zero Target,,,nz_status,In Law (12/22/2021); In Policy Document (11/12/2021); In Political Pledge (11/2/2021),Net_Zero,Net-zero Target Status
Colombia,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Colombia,Overview,Net-zero Target,,,nz_source,"<a href=""https://dapre.presidencia.gov.co/normativa/normativa/LEY%202169%20DEL%2022%20DE%20DICIEMBRE%20DE%202021.pdf"">Colombia Climate Action Law</a> (12/22/2021); <a href=""https://unfccc.int/sites/default/files/resource/COL_LTS_Nov2021.pdf"">Estrategia climática de largo plazo de Colombia E2050 para cumplir con el Acuerdo de París</a> (11/12/2021); <a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-2"">Speech during COP26 World Leaders Summit</a> (11/2/2021)",Net_Zero,Net-zero Target Source
Colombia,Overview,Net-zero Target,,,nz_ghg,Partial GHG Coverage,Net_Zero,Coverage of GHGs
Colombia,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Colombia,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
